상태,피그마,key,설명,en,lo,th,zh
번역 완료,ADMIN 드라이버관리,Citizen ID,,Citizen ID,ບັດປະຈຳຕົວ,,
번역 완료,ADMIN 지원,Claim type,,Claim type,ປະເພດຄຳຮ້ອງ,,
번역 완료,"ADMIN 지원, ADMIN 회원관리",Client,필터,Client,ລູກຄ້າ,,
번역 완료,ADMIN 회원관리,Client account has been deleted.,,Client account has been deleted.,ບັນຊີ ລູກຄ້າ ໄດ້ຖືກລຶບແລ້ວ.,,
번역 완료,ADMIN 회원관리,Client details,,Client details,ລາຍລະອຽດລູກຄ້າ,รายละเอียดลูกค้า,
번역 완료,ADMIN 회원관리,Client information,,Client information,ຂໍ້ມູນລູກຄ້າ,ข้อมูลลูกค้า,
번역 완료,ADMIN 회원관리,Client mobile,,Client mobile,ເບີໂທຂອງລູກຄ້າ,หมายเลขโทรศัพท์ของลูกค้า,
번역 완료,ADMIN 지원,Client name,,Client name,ຊື່ ລູກຄ້າ,,
병합 필요,ADMIN 콕콕관리,Close,버튼,Close,ປິດ,,
번역 완료,ADMIN 지원,Closed,,Closed,ປິດນຳໃຊ້,,
번역 완료,ADMIN 배터리,Code,,Code,ລະຫັດ,,
번역 완료,,Combustion,,Combustion,ການເຜົາໄໝ້,,
번역 완료,ADMIN 지원,Complain about a driver,,Complain about a driver,ແຈ້ງ ຂໍ້ຜິດພາດ ຫຼື ພຶດຕິກຳ ຂອງຜູ້ຂັບລົດຂົນສົ່ງ,,
번역 완료,ADMIN 콕콕관리,Complete,,Complete,ສໍາເລັດ,,
번역 완료,ADMIN 드라이버관리,Complete_pay,,Complete_pay,ສຳເລັດ ການຊໍາລະ,,
번역 완료,ADMIN 드라이버관리,Complete_unpay,,Complete_unpay,ສຳເລັດ ການບໍ່ຊໍາລະ,,
번역 완료,ADMIN 콕콕관리,Completed,,Completed,ສຳເລັດແລ້ວ,,
번역 완료,ADMIN 무브관리,Completed (More than 1km away),,Completed (More than 1km away),ສໍາ​ເລັດ (1 ກິ​ໂລ​ແມັດ​ຫຼື​ຫຼາຍ​ກວ່າ​),"เสร็จสมบูรณ์ (ห่างออกไป 1 กม. ขึ้นไป)
",
번역 완료,ADMIN 드라이버관리,Completed date,,Completed date,"ວັນທີສໍາເລັດ
","วันที่เสร็จสมบูรณ์
",
번역 완료,ADMIN 회원관리,Completed order,,Completed order,ຄໍາສັ່ງຂົນສົ່ງ ທີ່ສໍາເລັດ,,
병합 필요,ADMIN 드라이버관리,Completed order History,,Completed order History,ປະຫວັດ ຄຳສັ່ງຂົນສົ່ງ ທີ່ສຳເລັດແລ້ວ,,
병합 필요,ADMIN 드라이버관리,Completed order history,,Completed order history,ປະຫວັດການຂົນສົ່ງສຳເລັດແລ້ວ,ประวัติการขนส่งที่เสร็จสมบูรณ์,
번역 완료,ADMIN 지원,Condition type,,Condition type,ປະເພດເງື່ອນໄຂ,,
번역 완료,,Conditions have been changed.,,Conditions have been changed.,ເງື່ອນໄຂໄດ້ຖືກແກ້ແລ້ວ,,
병합 필요,"ADMIN 드라이버관리, ADMIN 일반배송(보류), ADMIN 정산, ADMIN 지원",Confirm,,Confirm,ຢັ້ງຢືນ,,
번역 완료,"ADMIN 로그인, ADMIN 설정",Confirm password,,Confirm password,ຢັ້ງຢືນ ລະຫັດຜ່ານ,,
번역 완료,ADMIN 일반배송(보류),Confirmed,,Confirmed,ຢືນຢັນແລ້ວ,,
번역 완료,ADMIN 모니터링,Copied the mobile number.,전화번호 복사 성공시 표기되는 토스트 문구,Copied the mobile number.,ສຳເນົາເບີໂທລະສັບແລ້ວ.,,
번역 완료,ADMIN 드라이버관리,Core time,,Core time,ຊ່ວງເວລາເຮັດວຽກຫລັກ,,
번역 완료,ADMIN 드라이버관리,Core time has been changed.,토스트,Core time has been changed.," ເວລາການເຮັດວຽກໄດ້ຮັບການປ່ຽນແປງແລ້",,
번역 완료,ADMIN 콕콕관리,Corporate,,Corporate,ບໍລິສັດ,,
번역 완료,ADMIN 드라이버관리,Corporate driver,,Corporate driver,ຄົນຂັບລົດຂອງບໍລິສັດ,พนักงานขับรถประจำองค์กร,
병합 필요,ADMIN 콕콕관리,Coupon,,Coupon,ຄູປອງ,,
번역 완료,ADMIN 지원,Coupon code,,Coupon code,ລະຫັດຄູປອງ,,
번역 완료,ADMIN 지원,Coupon details,,Coupon details,ລາຍລະອຽດຄູປ໋ອງ,รายละเอียดคูปอง,
번역 완료,ADMIN 지원,Coupon name,테이블,Coupon name,ຊື່ ຄູປອງ,,
번역 완료,ADMIN 지원,Coupon type,,Coupon type,ປະເພດຄູປອງ,,
번역 완료,ADMIN 지원,Coupons,,Coupons,ຄູປອງ,,
번역 완료,ADMIN 로그인,Create a new password,,Create a new password,ສ້າງລະຫັດຜ່ານໃໝ່ຂອງທ່ານ,,
번역 완료,"ADMIN 드라이버관리, ADMIN 무브관리",Created date,,Created date,ວັນທີສ້າງ,,
번역 완료,ADMIN 회원관리,Credit card,,Credit card,ບັດເຄຣດິດ,,
번역 완료,ADMIN 드라이버관리,Current,,Current,ປັດຈຸບັນ,,
번역 완료,ADMIN 회원관리,Current access,,Current access,ການເຂົ້າເຖິງ ໃນປັດຈຸບັນ,,
번역 완료,ADMIN 차량관리,Current brand,,Current brand,ຍີ່ຫໍ້ປະຈຸບັນ,,
번역 완료,ADMIN 차량관리,Current broken item,,Current broken item,ລາຍການເປ່ເພປະຈຸບັນ,,
번역 완료,,Current color,,Current color,ສີປັດຈຸບັນ,,
번역 완료,ADMIN 콕콕관리,Current driver,,Current driver,ຜູ້ຂັບລົດຂົນສົ່ງ ປັດຈຸບັນ,,
번역 완료,ADMIN 드라이버관리,Current earnings,,Current earnings,ລາຍຮັບປັດຈຸບັນ,,
번역 완료,,Current engine type,,Current engine type,ປະເພດເຄື່ອງຈັກປັດຈຸບັນ,,
번역 완료,ADMIN 차량관리,Current estimated repair due date,,Current estimated repair due date,ຄາດຄະເນວັນທີການສ້ອມແປງສໍາເລັດປະຈຸບັນ,,
번역 완료,ADMIN 차량관리,Current frame number,,Current frame number,ເລກຖັງປັດຈຸບັນ,,
번역 완료,ADMIN 차량관리,Current fuel type,,Current fuel type,ປະເພດນໍ້ໍ້າມັນເຊື້ອໄຟປັດຈຸບັນ,,
번역 완료,ADMIN 차량관리,Current model,,Current model,ແບບປະຈຸບັນ,,
번역 완료,ADMIN 회원관리,Current order,,Current order,ຄໍາສັ່ງຂົນສົ່ງ ປັັດຈຸບັນ,,
번역 완료,ADMIN 차량관리,Current owner,,Current owner,ເຈົ້າຂອງປະຈຸບັນ,,
번역 완료,ADMIN 설정,Current password,,Current password,ລະຫັດຜ່ານປັດຈຸບັນ,,
번역 완료,"ADMIN 드라이버관리, ADMIN 정산",Current points,,Current points,ຄະແນນ ປັດຈຸບັນ,,
번역 완료,ADMIN 차량관리,Current repair location,,Current repair location,ສະຖານທີ່ສ້ອມແປງປະຈຸບັນ,,
번역 완료,ADMIN 드라이버관리,Current service area,,Current service area,ພື້ນທີ່ບໍລິການໃນປະຈຸບັນ,,
번역 완료,"ADMIN 로지스틱스(보류), ADMIN 일반배송(보류)",Current status,,Current status,ສະຖານະປັດຈຸບັນ,,
번역 완료,ADMIN 지원,Customer,,Customer,ລູກຄ້າ,,
번역 완료,ADMIN 콕콕관리,Dairy products,,Dairy products,ຜະລິດຕະພັນ ປະເພດນົມ,,
번역 완료,ADMIN 콕콕관리,Date,,Date,ວັນທີ,,
번역 완료,ADMIN 지원,Date edited must be behind the date selected.,,Date edited must be behind the date selected.,ວັນທີີແກ້ໄຂຕ້ອງຢູ່ຫຼັງວັນທີສຳເລັດ,วันที่แก้ไขต้องอยู่หลังวันที่เลือก,
번역 완료,ADMIN 지원,Days,대문자,Days,ວັນ,,
번역 완료,ADMIN 지원,days,소문자,days,ວັນ,,
번역 완료,ADMIN 회원관리,Deactivated,,Deactivated,ປິດການໃຊ້ງານ,ปิดการใช้งาน,
병합 필요,ADMIN. 캘린더,DEC,Month (short),DEC,ເດືອນທັນວາ,,
번역 완료,ADMIN. 캘린더,December,Month (full),December,ເດືອນທັນວາ,,
번역 완료,ADMIN 드라이버관리,Deduction,,Deduction,ການຫັກຄະແນນ,,
번역 완료,ADMIN 드라이버관리,Default info,,Default info,ຂໍ້ມູນເລີ່ມຕົ້ນ,,
번역 완료,ADMIN 지원,Default information,,Default information,ຂໍ້ມູນເລີ່ມຕົ້ນ,,
번역 완료,ADMIN 콕콕관리,Delete,,Delete,ລົບ,,
번역 완료,ADMIN 드라이버관리,Delete account,타이틀,Delete account,ລົບບັນຊີ,,
번역 완료,ADMIN 설정,Delete administrator,타이틀,Delete administrator,ລຶບຜູ້ດູແລການຂົນສົ່ງ,,
번역 완료,ADMIN 지원,Delete banner,,Delete banner,ລົບ ປ້າຍໂຄສະນາ,,
번역 완료,ADMIN 설정,Delete hub,타이틀,Delete hub,ລຶບສູນຂົນສົ່ງ,,
번역 완료,ADMIN 콕콕관리,Delete note,타이틀,Delete note,ລຶບບັນທຶກ,,
번역 완료,ADMIN 지원,Delete notice,타이틀,Delete notice,ລຶບແຈ້ງການ,,
번역 완료,ADMIN 설정,Delete route,타이틀,Delete route,ລຶບເສັ້ນທາງ,,
번역 완료,ADMIN 드라이버관리,Deleted,,Deleted,ລຶບແລ້ວ,,
번역 완료,ADMIN 콕콕관리,Delivered,,Delivered,ຮັບ-ສົ່ງ ສຳເລັດແລ້ວ,รับ-ส่ง เรียบร้อย,已收件
번역 완료,ADMIN 지원,Delivery date,,Delivery date,ວັນທີ ຮັບ-ສົ່ງ,,
번역 완료,ADMIN 콕콕관리,Delivery fee,,Delivery fee,ຄ່າຈັດສົ່ງ,,
번역 완료,ADMIN 드라이버관리,Delivery info,,Delivery info,ຂໍ້ມູນການຈັດສົ່ງ,,
번역 완료,ADMIN 콕콕관리,Delivery information,,Delivery information,ຂໍ້ມູນການຈັດສົ່ງ,ข้อมูลการจัดส่ง,
번역 완료,"ADMIN 모니터링, ADMIN 콕콕관리",Departed,,Departed,ອອກເດີນທາງແລັວ.,ออกเดินทางแล้ว,
번역 완료,ADMIN 콕콕관리,Departed from the hub,,Departed from the hub,ອອກຈາກສູນກາງ,ออกจากศูนย์กลางแล้ว,
번역 완료,"ADMIN 설정, ADMIN 일반배송(보류)",Departure,,Departure,ອອກເດີນທາງ,,
번역 완료,ADMIN 일반배송(보류),Departure hub,,Departure hub,ສູນຂົນສົ່ງຕົ້ນທາງ,,
번역 완료,ADMIN 일반배송(보류),Departure location,,Departure location,ສະຖານທີ່ອອກເດີນທາງ,,
번역 완료,ADMIN 드라이버관리,Deposit,,Deposit,ຝາກ,เงินฝาก,
번역 완료,ADMIN 정산,Deposit account,,Deposit account,ບັນຊີ ຮັບເງິນຝາກ,,
번역 완료,ADMIN 로지스틱스(보류),Depth,,Depth,ຄວາມເລິກ,,
번역 완료,ADMIN 콕콕관리,Describe reason for cancellation,,Describe reason for cancellation,ອະທິບາຍເຫດຜົນສໍາລັບການຍົກເລີກ,,
번역 완료,ADMIN 콕콕관리,Describe reason for change,,Describe reason for change,ກະລຸນາໃສ່ເຫດຜົນສໍາລັບການປ່ຽນແປງ,,
번역 완료,ADMIN 드라이버관리,Describe reason for rejection,,Describe reason for rejection,ອະທິບາຍເຫດຜົນ ໃນການປະຕິເສດ,,
병합 필요,ADMIN 지원,Description,,Description,ຄຳອະທິບາຍ,,
병합 필요,ADMIN 일반배송(보류),Destination,,Destination,ປາຍທາງ,,
번역 완료,"ADMIN 지원, ADMIN 회원관리",Details,,Details,ລາຍລະອຽດ,,
번역 완료,ADMIN 설정,Details (Optional),,Details (Optional),ລາຍລະອຽດ (ທາງເລືອກ),,
번역 완료,ADMIN 지원,Device / OS / Ver.,,Device / OS / Ver.,ອຸປະກອນ / ລະບົບ / ເວີຊັນ,,
번역 완료,ADMIN 일반배송(보류),Did the goods arrive at the hub?,타이틀,Did the goods arrive at the hub?,ເຄື່ອງຮອດ ສູນຂົນສົ່ງແລ້ວບໍ່?,,
번역 완료,ADMIN 차량관리,Diesel,,Diesel,ກາຊວນ,,
제거 필요,ADMIN 드라이버관리,Disabled,,Disabled,ຄົນພິການ,,
번역 완료,ADMIN 드라이버관리,Disagree,,Disagree,ບໍ່ຮັບຂໍ້ມູນ,,
번역 완료,ADMIN 콕콕관리,Discount,,Discount,ສ່ວນຫຼຸດ,,
번역 완료,ADMIN 지원,Discount amount,,Discount amount,ມູນຄ່າ ສ່ວນຫຼຸດ,,
번역 완료,"ADMIN 무브배차, ADMIN 콕콕관리",Dispatch,,Dispatch,ຈັດຄິວສົ່ງ,,
번역 완료,ADMIN 콕콕관리,Dispatch canceled,,Dispatch canceled,ການຈັດສັນຂົນສົ່ງ ໄດ້ຖືກຍົກເລີກແລ້ວ,,
번역 완료,ADMIN 콕콕관리,Dispatch canceled (Administrator),,Dispatch canceled (Administrator),ການຈັດສັນຂົນສົ່ງ ໄດ້ຖືກຍົກເລີກແລ້ວ (ໂດຍຜູ້ດູແລການຂົນສົ່ງ),,
번역 완료,,Dispatch date,,Dispatch date,ວັນທີຈັດສົ່ງ,,
번역 완료,ADMIN 무브배차,Dispatch driver,,Dispatch driver,"ຄົນຂັບລົດຂົນສົ່ງ
",พนักงานขับรถส่งสินค้า,
번역 완료,ADMIN 콕콕관리,Dispatch has been canceled.,,Dispatch has been canceled.,ການຈັດຄິວຂົນສົ່ງ ໄດ້ຖືກຍົກເລີກແລ້ວ.,,
번역 완료,ADMIN 무브배차,Dispatch has been completed.,,Dispatch has been completed.,ການຈັດຄິວຂົນສົ່ງ ໄດ້ສຳເລັດແລ້ວ.,,
병합 필요,"ADMIN 모니터링, ADMIN 콕콕관리",Dispatched,,Dispatched,ສົ່ງແລ້ວ,,
병합 필요,ADMIN 일반배송(보류),Dispatched,,Dispatched,ຈັດສົ່ງແລ້ວ,จัดส่งแล้ว,
번역 완료,ADMIN 콕콕관리,Dispatched (Administrator),,Dispatched (Administrator),ສົ່ງແລ້ວ (ຜູ້ດູແລລະບົບ),ส่งแล้ว (ผู้ดูแลระบบ),
번역 완료,ADMIN 드라이버관리,Dispatched orders,,Dispatched orders,ຄຳສັ່ງຂົນສົ່ງ ທີ່ຖືກລະບົບຈັດຄິວສົ່ງ,,
번역 완료,ADMIN 무브배차,Distance,,Distance,ໄລຍະທາງ,,
번역 완료,ADMIN 드라이버관리,Do you want to change the schedule?,,Do you want to change the schedule?,"ທ່ານຕ້ອງການປ່ຽນຕາຕະລາງຂອງທ່ານບໍ?
","คุณต้องการเปลี่ยนกำหนดการหรือไม่?
",
번역 완료,ADMIN 일반배송(보류),Do you want to ship the selected order to the next hub?,타이틀,Do you want to ship the selected order to the next hub?,ທ່ານຕ້ອງການຈະຂົນສົ່ງ ຄຳສັ່ງຂົນສົ່ງທີ່ເລືອກ ໄປຍັງສູນຂົນສົ່ງຖັດໄປ ບໍ່?,,
번역 완료,ADMIN 기타,Document,Title,Document,ເອກະສານ,,
병합 필요,ADMIN 콕콕관리,Documents,,Documents,ເອກະສານ,,
번역 완료,"ADMIN 로지스틱스(보류), ADMIN 일반배송(보류), ADMIN 정산, ADMIN 지원",Done,,Done,ສຳເລັດແລ້ວ,,
번역 완료,ADMIN 드라이버관리,Dormant,,Dormant,ການຂົນສົ່ງຢຸດຊົ່ວຄາວ,,
번역 완료,ADMIN 일반배송(보류),Download,,Download,ດາວໂຫຼດ,,
번역 완료,ADMIN 지원,Download link,,Download link,ລິ້ງດາວໂຫລດ,,
번역 완료,ADMIN 지원,Drag and drop files to upload,,Drag and drop files to upload,ດຶງ ແລະ ວາງ ຟາຍລົງ ເພື່ອອັບໂຫຼດ,,
번역 완료,"ADMIN 무브배차, ADMIN 일반배송(보류), ADMIN 지원",Driver,,Driver,ຄົນຂັບລົດຂົນສົ່ງ,,
번역 완료,ADMIN 드라이버관리,Driver account has been deleted.,,Driver account has been deleted.,ບັນຊີ ຜູ້ຂັບລົດຂົນສົ່ງ ໄດ້ຖືກລົບແລ້ວ.,,
번역 완료,ADMIN 기타,Driver canceled order A-123499992222. Please check and dispatch a new driver.,Discription,Driver canceled order A-123499992222. Please check and dispatch a new driver.,ຜູ້ຂັບລົດຂົນສົ່ງໄດ້ຍົກເລີກ ຄຳສັ່ງຂົນສົ່ງ A-123499992222. ກະລຸນາກວດເບິ່ງ ແລະ ຈັດຄິວຜູ້ຂັບລົດຂົນສົ່ງໃຫມ່.,,
번역 완료,ADMIN 콕콕관리,Driver confirmed,,Driver confirmed,ຢັ້ງຢືນ ຄົນຂັບລົດ,,
번역 완료,ADMIN 콕콕관리,Driver confirmed (Administrator),,Driver confirmed (Administrator),ຢັ້ງຢືນ ຄົນຂັບລົດ (ໂດຍຜູ້ດູແລການຂົນສົ່ງ),,
번역 완료,ADMIN 드라이버관리,Driver details,,Driver details,ລາຍລະອຽດ ຜູ້ຂັບລົດຂົນສົ່ງ,,
번역 완료,ADMIN 콕콕관리,Driver has already been dispatched for this order. Do you wish to view the order details?,본문,Driver has already been dispatched for this order. Do you wish to view the order details?,ນີ້ແມ່ນຄໍາສັ່ງທີ່ຖືກສົ່ງໄປແລ້ວ. ທ່ານຕ້ອງການໄປໜ້າລາຍລະອຽດການສັ່ງຊື້ບໍ?,,
번역 완료,ADMIN 드라이버관리,Driver info,,Driver info,"ຂໍ້ມູນຄົນຂັບ
","ข้อมูลไดร์เวอร์
",
번역 완료,"ADMIN 무브관리, ADMIN 일반배송(보류)",Driver information,,Driver information,ຂໍ້ມູນຂອງຜູ້ຂັບລົດຂົນສົ່ງ,,
번역 완료,ADMIN 드라이버관리,Driver license,,Driver license,ໃບຂັບຂີ່,,
번역 완료,ADMIN 드라이버관리,Driver license registration,,Driver license registration,ການລົງທະບຽນໃບຂັບຂີ່,,
번역 완료,ADMIN 드라이버관리,Driver management,,Driver management,ການຈັດການ ຜູ້ຂັບລົດຂົນສົ່ງ,,
번역 완료,ADMIN 드라이버관리,Driver management details,,Driver management details,"ລາຍລະອຽດການ9afຄົນຂັບ
",รายละเอียดการจัดการไดรเวอร์,
번역 완료,ADMIN 콕콕관리,Driver mobile,,Driver mobile,ມືຖືຄົນຂັບລົດ,มือถือคนขับรถ,
번역 완료,ADMIN 드라이버관리,Driver name,,Driver name,ຊື່ຄົນຂັບລົດຂົນສົ່ງ,,
번역 완료,ADMIN 드라이버관리,Driver rating,,Driver rating,ຄະແນນຄົນຂັບ,คะแนนไดร์เวอร์,
번역 완료,ADMIN 드라이버관리,Driver type,,Driver type,ປະເພດຄົນຂັບ,ประเภทไดร์เวอร์,
번역 완료,,Driver type conditions,,Driver type conditions,ເງື່ືອນໄຂຄົນຂັບ,,
번역 완료,ADMIN 드라이버관리,Driving info,,Driving info,ຂໍ້​ມູນ​ການ​ຂັບ​ລົດ​,ข้อมูลการขับขี่,
번역 완료,ADMIN 무브관리,Driving information,,Driving information,ຂໍ້​ມູນ​ການ​ຂັບ​ລົດ​,ข้อมูลการขับขี่,
병합 필요,ADMIN 콕콕관리,Drop-off,,Drop-off,ສົ່ງເຄື່ອງລົງ,,
번역 완료,ADMIN 콕콕관리,Drop-off completed,,Drop-off completed,ສົ່ງພັດສຸດຸ ສຳເລັດແລ້ວ,,
번역 완료,ADMIN 콕콕관리,Drop-off date,"콕콕관리 상세보기, 무브관리 상세보기",Drop-off date,ວັນທີສົ່ງພັດສະດຸ,,
번역 완료,"ADMIN 무브배차, ADMIN 콕콕관리",Drop-off location,,Drop-off location,ຈຸດສົ່ງ,จุดส่ง,
번역 완료,,Dropoff date,,Dropoff date,ວັນທີສົ່ງ,,
번역 완료,ADMIN 콕콕관리,"Due to the bank transfer system, it will be deposited the next business day from the payment date.",,"Due to the bank transfer system, it will be deposited the next business day from the payment date.","ເນື່ອງຈາກ ລະບົບການໂອນເງິນຂອງທະນາຄານ, ມັນຈະຖືກຝາກເຂົ້າ ໃນມື້ເຮັດວຽກມື້ຖັດໄປ ຫຼັງຈາກທ່ານຊຳລະເງິນ.",,
번역 완료,ADMIN 콕콕관리,Each filter can only be applied up to 5.,,Each filter can only be applied up to 5.,ຕົວກອງ ສາມາດໃຊ້ໄດ້ພຽງ 5 ຢ່າງ.,,
병합 필요,ADMIN 드라이버관리,Earned,,Earned,ໄດ້ຮັບ,,
병합 필요,ADMIN 드라이버관리,Earned,,Earned,ຮັບແລ້ວ,,
번역 완료,"ADMIN 로지스틱스(보류), ADMIN 설정",Edit,,Edit,ແກ້ໄຂ,,
번역 완료,ADMIN 설정,Edit administrator,,Edit administrator,ແກ້ໄຂຜູ້ດູແລການຂົນສົ່ງ,,
번역 완료,ADMIN 차량관리,Edit advertisement,,Edit advertisement,ແກ້ໄຂໂຄສະນາ,,
번역 완료,ADMIN 지원,Edit banner,,Edit banner,ແກ້ໄຂ ປ້າຍໂຄສະນາ,,
번역 완료,ADMIN 지원,Edit coupon,,Edit coupon,ແກ້ໄຂ ຄູປອງ,,
번역 완료,ADMIN 설정,Edit hub,,Edit hub,ແກ້ໄຂສູນຂົນສົ່ງ,,
번역 완료,ADMIN 지원,Edit notice,,Edit notice,ແກ້ໄຂແຈ້ງການ,,
번역 완료,ADMIN 로지스틱스(보류),Edit order,,Edit order,ປ່ຽນແປງ ຄຳສັ່ງຂົນສົ່ງ,,
번역 완료,ADMIN 지원,Edit popup,,Edit popup,ແກ້ໄຂການແຈ້ງເຕືອນ,,
번역 완료,ADMIN 설정,Edit route,,Edit route,ແກ້ໄຂ ເສັ້ນທາງຂົນສົ່ງ,,
번역 완료,ADMIN 지원,Edit update information,,Edit update information,ແກ້ໄຂຂໍ້ມູນການອັບເດດ,,
번역 완료,ADMIN 차량관리,Electric,,Electric,ໄຟຟ້າ,,
번역 완료,"ADMIN 로그인, ADMIN 설정",Email,,Email,ອີເມວ,,
번역 완료,ADMIN 설정,Email / Password,,Email / Password,ອີເມວ / ລະຫັດຜ່ານ,,
번역 완료,ADMIN 지원,End date,,End date,ເວລາ ສິ້ນສຸດ,,
번역 완료,ADMIN 드라이버관리,Enter 6-digits code,,Enter 6-digits code,ໃສ່ລະຫັດ 6 ຕົວເລກ,กรอกรหัส 6 หลัก,请输入6位验证码
번역 완료,ADMIN 설정,Enter 13 characters (numbers only),,Enter 13 characters (numbers only),ໃສ່ 13 ໂຕ (ໃສ່ຕົວເລກ ເທົ່ານັ້ນ),,
번역 완료,ADMIN 드라이버관리,Enter car registration number(17 characters),,Enter car registration number(17 characters),ໃສ່ ລະຫັດລົງທະບຽນ ຂອງລົດຂົນສົ່ງ (17ຕົວເລກ),,
번역 완료,ADMIN 설정,Enter confirm password,,Enter confirm password,ໃສ່ລະຫັດຜ່ານ ເພື່ອຢັ້ງຢືນ,,
번역 완료,ADMIN 설정,Enter current password,,Enter current password,ໃສ່ລະຫັດຜ່ານປັດຈຸບັນ,,
번역 완료,ADMIN 지원,Enter hex color codes (6 characters),,Enter hex color codes (6 characters),ໃສ່ ລະຫັດສີ Hex (6 ຕົວອັກສອນ),,
번역 완료,ADMIN 설정,Enter new password,,Enter new password,ໃສ່ລະຫັດຜ່ານໃໝ່,,
병합 필요,ADMIN 설정,Enter password,,Enter password,ໃສ່ລະຫັດຜ່ານ,,
번역 완료,ADMIN 드라이버관리,Enter plate number,,Enter plate number,ໃສ່ ປາຍລົດຂອງທ່ານ,,
번역 완료,ADMIN 드라이버관리,Enter point amount,,Enter point amount,ໃສ່ ຈຳນວນຄະແນນ,,
번역 완료,ADMIN 드라이버관리,Enter registration number,,Enter registration number,ໃສ່ ເລກທີ ລົງທະບຽນ,,
번역 완료,ADMIN 드라이버관리,Enter the amount,,Enter the amount,ໃສ່ຈຳນວນເງິນ,,
번역 완료,ADMIN 배터리,Enter the battery code,,Enter the battery code,ໃສ່ລະຫັດແບດເຕີລີ,,
번역 완료,ADMIN 드라이버관리,Enter the category,,Enter the category,ໃສ່ຫມວດໝູ່,,
번역 완료,ADMIN 회원관리,Enter the client mobile number,,Enter the client mobile number,ໃສ່ເບີໂທລະສັບມືຖືຂອງລູກຄ້າ.,กรอกหมายเลขโทรศัพท์มือถือของลูกค้า,
번역 완료,ADMIN 지원,Enter the client name,,Enter the client name,ໃສ່ ຊື່ລູກຄ້າ,,
번역 완료,ADMIN 배터리,Enter the code,,Enter the code,ໃສ່ລະຫັດ,,
번역 완료,ADMIN 지원,Enter the coupon code,,Enter the coupon code,ໃສ່ ລະຫັດຄູປອງ,,
번역 완료,ADMIN 지원,Enter the coupon code (English and numbers only),,Enter the coupon code (English and numbers only),ໃສ່ລະຫັດຄູປ໋ອງ (ພາ​ສາ​ອັງ​ກິດ​ແລະ​ຕົວ​ເລກ​ເທົ່າ​ນັ້ນ​),กรอกรหัสคูปอง (ภาษาอังกฤษและตัวเลขเท่านั้น),
번역 완료,ADMIN 지원,Enter the coupon name,,Enter the coupon name,ໃສ່ ຊື່ຄູປອງ,,
번역 완료,ADMIN 콕콕관리,Enter the delivery issue or note.,,Enter the delivery issue or note.,ໃສ່ ບັນຫາໃນການຂົນສົ່ງ ຫຼື ບັນທຶກ,,
번역 완료,ADMIN 지원,Enter the description,,Enter the description,ໃສ່ຄຳອະທິບາຍ,,
번역 완료,ADMIN 드라이버관리,Enter the driver mobile number,,Enter the driver mobile number,ໃສ່ເບີໂທລະສັບຂອງຄົນຂັບ,,
번역 완료,ADMIN 무브관리,Enter the driving issue or note.,,Enter the driving issue or note.,ໃສ່ບັນຫາການຂັບຂີ່ ຫຼືບັນທຶກ.,ป้อนปัญหาการขับขี่หรือหมายเหตุ,
번역 완료,ADMIN 로그인,Enter the email of the account that you wish to reset the password for. We'll send you a verification code.,본문,Enter the email of the account that you wish to reset the password for. We'll send you a verification code.,ໃສ່ອີເມວທີ່ທ່ານຕ້ອງການຊອກຫາລະຫັດຜ່ານ. ພວກເຮົາຈະສົ່ງລະຫັດໃຫ້ທ່ານເພື່ອຢັ້ງຢືນຕົວຕົນຂອງທ່ານ.,,
번역 완료,,Enter the extra charge,,Enter the extra charge,ໃສ່ຄ່າບໍລິການເພີ່ມເຕີມ,,
번역 완료,ADMIN 드라이버관리,Enter the first name of driver,,Enter the first name of driver,ໃສ່ຊື່ຂອງຜູ້ຂັບລົດ,,
번역 완료,ADMIN 드라이버관리,Enter the first name of owner,,Enter the first name of owner,ໃສ່ ຊື່ແທ້ຂອງເຈົ້າຂອງ,,
번역 완료,ADMIN 지원,Enter the first version number,,Enter the first version number,ໃສ່ໝາຍເລກເວີຊັນທຳອິດ,,
번역 완료,ADMIN 회원관리,Enter the inquiry subject,,Enter the inquiry subject,ໃສ່ຫົວເລື່ອງຂອງການສອບຖາມ.,ป้อนหัวข้อการสอบถาม,
번역 완료,ADMIN 드라이버관리,Enter the last name of driver,,Enter the last name of driver,ໃສ່ນາມສະກຸນຂອງຜູ້ຂັບລົດ,,
번역 완료,ADMIN 드라이버관리,Enter the last name of owner,,Enter the last name of owner,ໃສ່ ນາມສະກຸນຂອງເຈົ້າຂອງ,,
번역 완료,ADMIN 지원,Enter the last version number,,Enter the last version number,ໃສ່ໝາຍເລກເວີຊັນຫຼ້າສຸດ,,
번역 완료,ADMIN 배터리,Enter the manufacture number,,Enter the manufacture number,ໃສ່ໝາຍເລກການຜະລິດ,,
번역 완료,,Enter the maximum,,Enter the maximum,ໃສ່ຈໍານວນສູງສຸດ,,
번역 완료,,Enter the minimum,,Enter the minimum,ໃສ່ຈໍານວນຕໍ່າສຸດ,,
번역 완료,ADMIN 회원관리,Enter the mobile number,,Enter the mobile number,ໃສ່ເບີມືຖື,,
