상태,피그마,key,en,lo,ko,th,비고
번역 완료,WEB 로그인,The requested page could not be found.Please check that the address on the page you entered is correct,The requested page could not be found.Please check that the address on the page you entered is correct,ບໍ່ສາມາດຊອກຫາໜ້າທີ່ຮ້ອງຂໍໄດ້. ກະລຸນາກວດເບິ່ງວ່າທີ່ຢູ່ໃນໜ້າທີ່ທ່ານລະບຸນັ້ນຖືກຕ້ອງ,,,
번역 완료,WEB 캘린더,"The route cannot be displayed because it exceeds 2,000 km.","The route cannot be displayed because it exceeds 2,000 km.","ເສັ້ນທາງດັ່ງກ່າວບໍ່ສາມາດໃຫ້ບໍລິການໄດ້ ເນື່ອງຈາກໄລຍະທາງເກີນ 2,000 ກິໂລແມັດ.",,,
번역 완료,WEB 캘린더,The route setting is not available.,The route setting is not available.,ການຕັ້ງຄ່າເສັ້ນທາງບໍ່ສະດວກ,,,
번역 완료,WEB 캘린더,The routes has been edited successfully.,The routes has been edited successfully.,ແກື້ໄຂເສັ ນທາງຮຽບຮື້ອຍແລື້ວ.,,,
번역 완료,,The vehicle has been added successfully.,The vehicle has been added successfully.,ພາຫະນະໄດ້ຖືກເພີ່ມເຂົ້າສໍາເລັດແລ້ວ.,,,
번역 완료,,The vehicle information has been changed.,The vehicle information has been changed.,ຂໍ້ມູນຍານພາຫະນະມີການປ່ຽນແປງ.,,,
번역 완료,WEB 로그인,The verification code is incorrect.,The verification code is incorrect.,ລະຫັດຢືນຢັນບໍ່ຖືກຕ້ອງ.,,,
번역 완료,,This login ID is already registered.,This login ID is already registered.,ລະຫັດID ນີ້ໄດ້ຖືກລົງທະບຽນແລ້ວ.,,,
번역 완료,WEB 캘린더,To,To,ເຖິງ,,,
번역 완료,WEB 캘린더,Today,Today,ມື້ນີ້,,,
번역 완료,,Total box information,Total box information,ລາຍລະອຽດຈຳນວນກ່ອງທັງໝົດ,,,
번역 완료,WEB 캘린더,Total price,Total price,ລາຄາລວມ,,,
번역 완료,,TP to J-Mart,TP to J-Mart,ສາງທົ່ງປົ່ງ ໄປ ເຈມາກ,,,
번역 완료,WEB 캘린더,TP to PSN,TP to PSN,ສາງທົ່ງປົ່ງ ໄປ ໂພນສີນວນ,,,
번역 완료,,Tractor 10T,Tractor 10T,ແທັກເຕີ 10 ໂຕນ,,,
번역 완료,,Trailer 10T,Trailer 10T,ລົດລາກ 10 ໂຕນ,,,
번역 완료,,Truck (Carrier) 5T,Truck (Carrier) 5T,ລົດບັນທຸກ (ບັນທຸກ) 5 ໂຕນ,,,
번역 완료,WEB 캘린더,Truck has been changed.,Truck has been changed.,ລົດບັນທຸກໄດ້ມີການປ່ຽນແປງແລ້ວ,,,
번역 완료,WEB 캘린더,Truck history,Truck history,ປະຫວັດລົດບັນທຸກ,,,
번역 완료,WEB 캘린더,Truck info,Truck info,ຂໍ້ມູນລົດບັນທຸກ,,,
번역 완료,WEB 캘린더,Type,Type,ປະເພດ,,,
번역 완료,,Unable to process your request due to shipping schedule exists.,Unable to process your request due to shipping schedule exists.,ບໍ່ສາມາດດຳເນີນການຕາມຄຳຮ້ອງຂໍຂອງທ່ານໄດ້ເນື່ອງຈາກມການດການຈັດສັ່ງ,,,
번역 완료,,Unavailable,Unavailable,ບໍ່ສາມາດໃຊ້ໄດ້,,,
번역 완료,WEB 캘린더,Unit,Unit,ອັນ,,,
번역 완료,WEB 캘린더,Update,Update,ອັບເດດ,,,
번역 완료,,Using for,Using for,ນຳໃຊ້ສຳຫຼັບ,,,
번역 완료,,"Vehicle brand ","Vehicle brand ",ຍີ່ຫໍ້ລົດ,,,
번역 완료,,Vehicle details,Vehicle details,ລາຍລະອຽດລົດ,,,
번역 완료,,Vehicle has been deleted.,Vehicle has been deleted.,ຍານພາຫະນະຖກລຶ ບ.,,,
번역 완료,,Vehicle Id Number,Vehicle Id Number,ເລກຖັງລົດ,,,
번역 완료,,Vehicle information,Vehicle information,ຂໍ້ມູນຍານພາຫະນະ,,,
번역 완료,,Vehicle list,Vehicle list,ລາຍການລົດ,,,
번역 완료,,Vehicle model,Vehicle model,ລຸ້ນລົດ,,,
번역 완료,,Vehicle photo,Vehicle photo,ຮູບພາບຍານພາຫະນະ,,,
번역 완료,,Vehicle photo (Optional),Vehicle photo (Optional),ຮູບພາບຍານພາຫະນະ (ບໍ່ບັງຄັບ),,,
번역 완료,,Vehicle type,Vehicle type,ປະເພດຍານພາຫະນະ,,,
번역 완료,WEB 로그인,Verification code,Verification code,ລະຫັດຢືນຢັນ,,,
번역 완료,WEB 로그인,Verify,Verify,ຢືນຢັນ,,,
번역 완료,,VTE,VTE,VTE,,,
제거 필요,WEB 캘린더,Warehouse,Warehouse,ສາງສິ ນຄື້າ,,,
번역 완료,WEB 로그인,Website maintenance notice,Website maintenance notice,ແຈ້ງການບໍາລຸງຮັກສາເວັບໄຊທ໌,,,
번역 완료,,White,White,ສີຂາວ,,,
번역 완료,,Year,Year,ປີ,,,
번역 완료,,Yellow,Yellow,ສີເຫືອງ,,,
번역 완료,WEB 로그인,You cannot request for more verification code. Please try again later.,You cannot request for more verification code. Please try again later.,ບັນຊີໄດ້ຖືກລັອກເນື່ອງຈາກມີຄໍາຮ້ອງຂໍລະຫັດຢືນຢັນຫຼາຍຄັ້ງ. ກະລຸນາລອງໃໝ່ໃນພາຍຫຼັງ.,,,
번역 완료,WEB 로그인,"You’re using a web browser we don’t support.
Please use one of these options to improve your experience.","You’re using a web browser we don’t support.
Please use one of these options to improve your experience.",ທ່ານກໍາລັງໃຊ້ເວັບບຣາວເຊີທີ່ພວກເຮົາບໍ່ຮອງຮັບ. ກະລຸນາໃຊ້ຫນຶ່ງໃນທາງເລືອກເຫຼົ່ານີ້ເພື່ອປັບປຸງປະສົບການຂອງທ່ານ.,,,
번역 완료,WEB 로그인,You’re using a web browser we don’t support.Please use one of these options to improve your experience.,You’re using a web browser we don’t support.Please use one of these options to improve your experience.,ທ່ານກໍາລັງໃຊ້ເວັບບຣາວເຊີທີ່ພວກເຮົາບໍ່ຮອງຮັບ. ກະລຸນາໃຊ້ຫນຶ່ງໃນທາງເລືອກເຫຼົ່ານີ້ເພື່ອປັບປຸງປະສົບການຂອງທ່ານ.,,,
